OXC;OXC12;LPVP;LPVP12;LPNP;LPNP12
6.8;5.35;0.77;0.78;4.28;4.23
6.63;5.42;1.16;1.05;4.33;4.08
7.02;5.35;0.72;0.63;4.2;3.54
6.34;4.93;0.79;0.69;3.69;2.89
4.6;3.8;1.13;1.09;2.45;2.16
6.61;4.8;1.06;0.83;2.78;3.92
9.45;6.96;0.55;0.64;6.79;5.5
4.81;5.45;1.02;1.12;2.98;2.8
4.87;5.54;0.99;1.11;2.75;2.91
5.95;6.24;1;0.97;3.94;3.91
5.13;4.25;0.94;0.65;3.01;2.33
3.79;4.88;1.11;1.24;2.18;2.39
5.05;5.58;1.2;1.35;1.94;2.41
9.27;7.14;0.52;0.5;6.31;5.16
7;6.3;0.81;0.92;2.8;3.97
8.38;6.54;0.47;0.58;4.59;4.51
6;5.93;0.98;0.96;4.15;4.01
9.43;6.96;0.52;0.62;6.95;5.63
6.85;6;0.71;0.81;3.91;4.11
